,bill_id,status,state,state_id,bill_number,bill_type,bill_type_id,body,body_id,current_body,current_body_id,title,description
27,1735904,1,MA,21,S575,B,1,S,52,S,52,Relative to pesticide applications,For legislation relative to pesticide applications. Environment and Natural Resources.
28,1741268,1,MA,21,H3197,B,1,H,51,H,51,Providing for natural gas workforce safety,"Relative to natural gas workforce safety. Telecommunications, Utilities and Energy."
29,1776124,2,MA,21,S2436,B,1,S,52,S,52,Amending the Nantucket Sewer Act,For legislation to amend the Nantucket Sewer Act. Municipalities and Regional Government. [Local approval received]
30,1737583,1,MA,21,H209,B,1,H,51,H,51,Providing for diaper changing stations in public buildings and accommodations,"For legislation to provide for diaper changing stations in public buildings and accommodations. Children, Families and Persons with Disabilities."
31,1740985,1,MA,21,H2982,B,1,H,51,H,51,Requiring municipalities to place insurance out to bid,"For legislation to include insurance under Chapter 30B, the Uniform Procurement Act. State Administration and Regulatory Oversight."
32,1735837,1,MA,21,S789,B,1,S,52,S,52,Relative to hospital price transparency,For legislation relative to hospital price transparency. Health Care Financing.
33,1742098,1,MA,21,H2609,B,1,H,51,H,51,Relative to correct inequities regarding the retirement of state-employed and special authority-employed police officers,"Relative to the retirement group of University of Massachusetts, Massport police, and state university and community college police. Public Service."
34,1857570,1,MA,21,H4456,B,1,H,51,H,51,Relative to financial technology services,Relative to licensing of earned wage access services providers by the Division of Banks. Financial Services.
35,1740414,1,MA,21,H1904,B,1,H,51,H,51,Relative to the definition of an independent contractor,Relative to individuals performing services. Labor and Workforce Development.
36,1777028,1,MA,21,H4068,B,1,H,51,H,51,"Relative to diabetic financial protection, assistance, and additional healthcare coverage",Relative to health insurance coverage for diabetic products. Financial Services.
37,1878549,1,MA,21,H4570,B,1,H,51,H,51,Study Order,"Relativerelative to wages, workers' compensation, workplace protections and other related matters."
38,1880564,1,MA,21,H4585,B,1,H,51,H,51,Study Order,"Relativerelative to school climate, safety and transportation."
39,1820496,1,MA,21,S1819,B,1,S,52,S,52,"To advance fairness, integrity, and excellence in higher education admissions","For legislation to advance fairness, integrity, and excellence in higher education admissions. Higher Education."
40,1777144,1,MA,21,H4077,B,1,H,51,H,51,"Authorizing the town of Nantucket to convey certain land situated in the town of Nantucket held for open space, recreational or conservation purposes to the Nantucket Islands Land Bank for the purposes pursuant to its legislation",That the town of Nantucket be authorized to transfer a certain parcel of conservation land to the Nantucket Islands Land Bank. Municipalities and Regional Government. [Local Approval Received.]
41,1736108,1,MA,21,S2365,B,1,S,52,S,52,Establishing a zero carbon renovation fund,For legislation to establish a zero carbon renovation fund. Joint Ways and Means.
42,1885156,1,MA,21,S2910,B,1,S,52,S,52,Relative to the Historic Connecticut River Water Trail,For legislation to establish the Historic Connecticut River Water Trail Marking Trust Fund. Environment and Natural Resources.
43,1741602,1,MA,21,H2472,B,1,H,51,H,51,Relative to employee retirement,For legislation to include sewerage treatment plant operators for the Department of Correction in Group 2 of the public employee retirement system. Public Service.
44,1739751,1,MA,21,H3157,B,1,H,51,H,51,To restore the environmental fund with unclaimed bottle deposits,"For legislation to restore the clean environmental fund using revenue from unclaimed bottle deposits. Telecommunications, Utilities and Energy."
45,1764503,1,MA,21,H3850,B,1,H,51,H,51,Authorizing the town of Brookline to adopt green zoning by-laws and regulations,That the town of Brookline be authorized to adopt green zoning by-laws and regulations in said town. Municipalities and Regional Government. [Local Approval Received.]
46,1738176,1,MA,21,H401,B,1,H,51,H,51,Relative to the sale of malt beverages produced by a pub brewery,Relative to the sale of malt beverages produced by pub breweries. Consumer Protection and Professional Licensure.
47,1738669,1,MA,21,H1125,B,1,H,51,H,51,To increase enrollment in affordable health plan networks,For legislation to increase enrollment in affordable health plan networks. Financial Services.
48,1738181,1,MA,21,H1133,B,1,H,51,H,51,Relative to primary insurance,"Relative to primary insurance in the leasing of motor vehicles or trailers under the ''drive-it-yourself'' system, so-called. Financial Services."
49,1738002,1,MA,21,H879,B,1,H,51,H,51,Protecting the rights of municipalities and districts,Relative to water resources and protecting the rights of municipalities and districts. Environment and Natural Resources.
50,1737325,1,MA,21,S917,B,1,S,52,S,52,Relative to advertising for justices of the peace,For legislation relative to advertising for justices of the peace. The Judiciary.
51,1735722,1,MA,21,S1406,B,1,S,52,S,52,Preserving access to hospital services,For legislation to preserve access to hospital services. Public Health.
52,1736277,1,MA,21,S662,B,1,S,52,S,52,Providing access to full spectrum addiction treatment services,For legislation to provide access to full spectrum addiction treatment services. Financial Services.
53,1742623,1,MA,21,H1626,B,1,H,51,H,51,For legislation relative to costs of appeals by the Commonwealth,Relative to costs of appeals by certain defendants. The Judiciary.
54,1741078,1,MA,21,H2834,B,1,H,51,H,51,Relative to the tax exemption status of municipal employee pensions,Relative to the tax exemption status of municipal employee pensions. Revenue.
55,1739640,1,MA,21,H2878,B,1,H,51,H,51,Protecting the interests of housing cooperative shareholders,Relative to tax deductions for housing cooperative shareholders. Revenue.
56,1738770,1,MA,21,H743,B,1,H,51,H,51,Relative to Long and Moon Islands in Boston Harbor,Relative to Long and Moon Islands in Boston Harbor. Environment and Natural Resources.
57,1885201,2,MA,21,H4942,B,1,H,51,S,52,Relative to property tax classification in the city of Boston,Relative to property tax classification in the city of Boston
58,1741126,1,MA,21,H1562,B,1,H,51,H,51,Reducing the storage of obsolete papers,Relative to reducing the storage of obsolete court papers. The Judiciary.
59,1739764,1,MA,21,H2348,B,1,H,51,H,51,Relative to military grade controlled property,Relative to military grade controlled property. Public Safety and Homeland Security.
60,1737162,1,MA,21,S588,B,1,S,52,S,52,Studying the effect of per- and polyfluoroalkyl substances in commercial products,For legislation to study the effect of per- and polyfluoroalkyl substances in commercial products. Environment and Natural Resources.
61,1739199,1,MA,21,H184,B,1,H,51,H,51,Relative to financial literacy,"Relative to financial literacy. Children, Families and Persons with Disabilities."
62,1737591,1,MA,21,H409,B,1,H,51,H,51,Relative to the town of Avon,Relative to the membership of the Brockton Economic Target Area. Economic Development and Emerging Technologies.
63,1885778,1,MA,21,S2811,B,1,S,52,S,52,Site Information & Links,Site Information & Links
64,1739251,1,MA,21,H467,B,1,H,51,H,51,Expanding reasons for excused absences from school to include mental or behavioral health,Relative to expanding reasons for excused absences from school to include mental or behavioral health. Education.
65,1885436,2,MA,21,H4965,B,1,H,51,H,51,Authorizing the Massachusetts Department of Transportation to convey a certain parcel of land in the town of Stoneham,Authorizing the Massachusetts Department of Transportation to convey a certain parcel of land in the town of Stoneham
66,1738559,1,MA,21,H761,B,1,H,51,H,51,Expanding pleasure boat access to Boston Harbor,For legislation to expand pleasure boat access to Boston Harbor. Environment and Natural Resources.
67,1738046,1,MA,21,H257,B,1,H,51,H,51,Relative to equine dentistry,Relative to equine dentistry. Consumer Protection and Professional Licensure.
68,1739114,1,MA,21,H886,B,1,H,51,H,51,Relative to combined sewer overflows,Relative to combined sewer overflows. Environment and Natural Resources.
69,1793688,1,MA,21,S2531,B,1,S,52,S,52,Advancing grid enhancement technologies,"For legislation to advance grid enhancement technologies. Telecommunications, Utilities and Energy."
70,1738967,1,MA,21,H600,B,1,H,51,H,51,Fulfilling the promise of education reform,For legislation to establish a special commission (including members of the General Court) to be known as the promise commission to conduct an ongoing study of all matters concerning education in the 21st century. Education.
71,1876074,1,MA,21,H4603,B,1,H,51,H,51,"REPORT of the SPECIAL JOINT COMMITTEE on INITIATIVE PETITIONS on the INITIATIVE PETITION of DIANA DIZOGLIO AND OTHERS FOR THE PASSAGE OF AN ACT EXPRESSLY AUTHORIZING THE AUDITOR TO AUDIT THE LEGISLATURE (see House, No. 4251)","REPORT of the SPECIAL JOINT COMMITTEE on INITIATIVE PETITIONS on the INITIATIVE PETITION of DIANA DIZOGLIO AND OTHERS FOR THE PASSAGE OF AN ACT EXPRESSLY AUTHORIZING THE AUDITOR TO AUDIT THE LEGISLATURE (see House, No. 4251)"
72,1741288,1,MA,21,H2780,B,1,H,51,H,51,"Establishing the Covid-19 pandemic emergency tax payer relief exemption and refund for income taxes on 2020 unemployment benefits up to $10,100 in unemployment compensation",For legislation to provide for income tax exemptions and refunds for certain calendar year 2020 unemployment assistance benefits. Revenue.
73,1739773,1,MA,21,H2296,B,1,H,51,H,51,Relative to enforcing federal law,Relative to enforcement of certain federal law by sheriffs and employees of correctional institutions. Public Safety and Homeland Security.
74,1738451,1,MA,21,H73,B,1,H,51,H,51,Relative to the interception of wire and oral communications,"Relative to the interception of wire and oral communications. Advanced Information Technology, the Internet and Cybersecurity."
75,1742799,1,MA,21,H2706,B,1,H,51,H,51,Establishing a homestead exemption for disabled veterans,For legislation to establish a homestead exemption for disabled veterans. Revenue.
76,1733994,1,MA,21,S750,B,1,S,52,S,52,Relative to primary care for you,For legislation relative to primary care for you. Health Care Financing.
77,1740804,1,MA,21,H3300,B,1,H,51,H,51,To improve the functioning and fairness of Registry of Motor Vehicles services,For legislation to encourage local service delivery of Registry of Motor Vehicle services. Transportation.
78,1882627,1,MA,21,H4757,B,1,H,51,H,51,Similar Bills,Similar Bills
79,1741626,1,MA,21,H2827,B,1,H,51,H,51,Relative to privately owned public use airport real estate taxes,Relative to privately owned public use airport real estate taxes. Revenue.
80,1736944,1,MA,21,S1200,B,1,S,52,S,52,Relative to raising the minimum wage closer to a living wage in the Commonwealth,For legislation relative to raising the minimum wage closer to a living wage in the Commonwealth. Labor and Workforce Development.
81,1733846,1,MA,21,S2180,B,1,S,52,S,52,To ensure adequate and affordable energy,"For legislation to ensure adequate and affordable energy. Telecommunications, Utilities and Energy."
82,1811495,1,MA,21,H4245,B,1,H,51,H,51,Relative to fairness in high school athletics,For legislation to authorize schools and students participating in certain athletic programs to seek arbitration to review athletic programs eligibility decisions. Education.
83,1737563,1,MA,21,H1169,B,1,H,51,H,51,Providing Medicaid coverage for tobacco cessation programs and information,Relative to providing Medicaid coverage for tobacco cessation programs and information. Health Care Financing.
84,1741445,1,MA,21,H2991,B,1,H,51,H,51,Relative to access to statements of financial interest,Relative to access to statements of financial interest. State Administration and Regulatory Oversight.
85,1738752,1,MA,21,H2117,B,1,H,51,H,51,Relative to dangerous dogs,Relative to dangerous dogs. Municipalities and Regional Government.
86,1772353,1,MA,21,S2406,B,1,S,52,S,52,Site Information & Links,Site Information & Links
87,1737503,1,MA,21,H1077,B,1,H,51,H,51,Relative to insurance company rebates,Relative to insurance company rebates. Financial Services.
88,1736318,1,MA,21,S41,B,1,S,52,S,52,Resolve promoting equity in agriculture,"By Ms. Comerford, a petition of Joanne M. Comerford, Susannah M. Whipps, Hannah Kane, Sal N. DiDomenico and other members of the General Court that provisions be made for an investigation and study by a special commission (including members of the General Court) to promote equity in agriculture. Agriculture."
89,1736580,1,MA,21,S526,B,1,S,52,S,52,Ensuring safe drinking water in schools,For legislation to ensure safe drinking water in schools. Environment and Natural Resources.
90,1885753,1,MA,21,S2880,B,1,S,52,S,52,Site Information & Links,Site Information & Links
91,1739310,1,MA,21,H518,B,1,H,51,H,51,Relative to equity and inclusion in education,Relative to learning at a level commensurate with demonstrated achievement. Education.
92,1737615,1,MA,21,H452,B,1,H,51,H,51,Relative to recess for elementary school children,Relative to recess for elementary school children. Education.
93,1844359,1,MA,21,H4380,B,1,H,51,H,51,Similar Bills,Similar Bills
94,1740215,1,MA,21,H3035,B,1,H,51,H,51,Requiring state procurement of low-carbon building materials,For legislation to require state procurement of low-carbon building materials. State Administration and Regulatory Oversight.
95,1885439,1,MA,21,H4974,B,1,H,51,H,51,Similar Bills,Similar Bills
96,1739480,1,MA,21,H2101,B,1,H,51,H,51,"Relative to outstanding fines, fees, penalties, or costs related to the use of fireworks or pyrotechnics in the city of Springfield","Relative to outstanding fines, fees, penalties, or costs related to the use of fireworks or pyrotechnics in the city of Springfield. Municipalities and Regional Government. [Local Approval Received.]"
97,1733644,1,MA,21,S572,B,1,S,52,S,52,To save recycling costs in the commonwealth,For legislation to save recycling costs in the commonwealth. Environment and Natural Resources.
98,1741591,1,MA,21,H3242,B,1,H,51,H,51,To create the American Revolution anniversary public safety and operations fund,"For legislation to create the American Revolution anniversary public safety and operations fund to support the towns of Lexington and Concord for security protections and operational support for the years 2025 and 2026. Tourism, Arts and Cultural Development."
99,1738540,1,MA,21,H1146,B,1,H,51,H,51,Providing access to full spectrum addiction treatment services,Relative to healthcare coverage access to full spectrum addiction treatment services. Financial Services.
100,1741311,1,MA,21,H1799,B,1,H,51,H,51,"Relative to rental protections for elderly, disabled and low-to-middle income tenants",Relative to the termination of rental agreements or tenancy by certain tenants. The Judiciary.
101,1736740,1,MA,21,S161,B,1,S,52,S,52,Relative to charitable alcohol donations,For legislation relative to charitable alcohol donations. Consumer Protection and Professional Licensure.
102,1741905,1,MA,21,H382,B,1,H,51,H,51,Related to environmental marketing claims,For legislation to further regulate the packaging of consumer goods that contain deceptive or misleading claims about the recyclability of the product or packaging. Consumer Protection and Professional Licensure.
103,1850705,4,MA,21,H4431,B,1,H,51,H,51,Directing the city of Boston Police Department to waive the maximum age requirement for police officers for Nuias Daveiga,That the city of Boston be authorized to appoint Nuias Daveiga a police officer in said city notwithstanding the maximum age requirement. Public Service. [Local Approval Received.]
104,1736673,1,MA,21,S2215,B,1,S,52,S,52,Establishing a regional equity and roadway board,For legislation to establish a regional equity and roadway board. Transportation.
105,1885155,2,MA,21,S2908,B,1,S,52,S,52,Providing for the humane protection of animals,Providing for the humane protection of animals
106,1740884,1,MA,21,H2430,B,1,H,51,H,51,Relative to pay parity for county correctional officers,Relative to pay parity for county correctional officers. Public Service.
107,1738987,2,MA,21,H913,B,1,H,51,H,51,Relative to designating the Rumney Marsh as the Joseph T. James area of critical environmental concern,Relative to designating the Rumney Marsh as the Joseph T. James memorial area of critical environmental concern. Environment and Natural Resources.
108,1734046,1,MA,21,S1403,B,1,S,52,S,52,Governing the operation of ambulance services by not-for-profit hospital systems or services,For legislation to governing not for profit hospital system or service operating an ambulance service. Public Health.
109,1742445,1,MA,21,H2424,B,1,H,51,H,51,Establishing a fund for the care of retired police dogs,Relative to establishing a fund for the care of retired police dogs. Public Safety and Homeland Security.
110,1735616,1,MA,21,S266,B,1,S,52,S,52,Enhancing the educational outcomes of expectant and parenting students,For legislation to enhance the educational outcomes of expectant and parenting students. Education.
111,1742434,1,MA,21,H3029,B,1,H,51,H,51,Establishing the Executive Office of Food Resources and Security,For legislation to establish an executive office of food resources and security. State Administration and Regulatory Oversight.
112,1740383,1,MA,21,H3169,B,1,H,51,H,51,Protecting ratepayers from gas pipeline expansion costs,"For legislation to prohibit companies from charging ratepayers for the construction or expansion of interstate gas infrastructure. Telecommunications, Utilities and Energy."
113,1740782,1,MA,21,H3090,B,1,H,51,H,51,Designating September as PCOS awareness month,"By Representative Montaño of Boston, a petition of Samantha Montaño, Jason M. Lewis and Hannah Kane for the annual issuance of a proclamation by the Governor setting apart the month of September as polycystic ovary syndrome awareness month. State Administration and Regulatory Oversight."
114,1773463,4,MA,21,H3959,B,1,H,51,S,52,Amending the charter of the city of Easthampton,For legislation to amend the charter of the city of Easthampton. Election Laws. [Local Approval Received.]
115,1871863,1,MA,21,H4549,B,1,H,51,H,51,Similar Bills,Similar Bills
116,1739281,1,MA,21,H471,B,1,H,51,H,51,Requiring immunizations against preventable diseases,Relative to requiring immunizations against preventable diseases for school admittance. Education.
117,1778636,1,MA,21,H4103,B,1,H,51,H,51,To ensure the responsible use of advanced robotic technologies,Relative to the responsible use of certain advanced robotic technologies. The Judiciary.
118,1736808,1,MA,21,S1063,B,1,S,52,S,52,To prevent human trafficking through increased public awareness,For legislation to prevent human trafficking through increased public awareness. The Judiciary.
119,1733902,1,MA,21,S804,B,1,S,52,S,52,To strengthen the management of the health care connector,For legislation to strengthen the management of the health care connector. Health Care Financing.
120,1738053,1,MA,21,H718,B,1,H,51,H,51,Relative to early voting cost reimbursements,Relative to early voting cost reimbursements for cities and towns. Election Laws.
121,1735374,1,MA,21,S1072,B,1,S,52,S,52,Updating hunter harassment laws,For legislation to update hunter harassment laws. The Judiciary.
122,1750939,1,MA,21,H3609,B,1,H,51,H,51,Relative to translated CNA exams,Relative to translated certified nurses assistant exams. Public Health.
123,1739231,1,MA,21,H1183,B,1,H,51,H,51,Advancing health care research and decision-making centered on patients and people with disabilities,Relative to health care research and decision-making centered on patients and persons with disabilities. Health Care Financing.
124,1881743,1,MA,21,H4712,B,1,H,51,H,51,"Matters before the joint committee on mental health, substance use and recovery","Matters before the joint committee on mental health, substance use and recovery"
125,1738027,1,MA,21,H173,B,1,H,51,H,51,To support families,"For legislation to protect infants affected by in-utero substance exposure or fetal alcohol spectrum disorder. Children, Families and Persons with Disabilities."
126,1741732,1,MA,21,H1793,B,1,H,51,H,51,Resolve providing for an investigation and study by a special commission relative to gender-responsive programming for juvenile justice system involved girls,Relative to gender responsive programming for juvenile justice system involved girls. The Judiciary.
127,1734053,1,MA,21,S1151,B,1,S,52,S,52,Relative to municipal unemployment insurance reform,For legislation relative to municipal unemployment insurance reform. Labor and Workforce Development.
128,1736980,1,MA,21,S1862,B,1,S,52,S,52,To eliminate the tax deduction for direct-to-consumer pharmaceutical marketing,For legislation to eliminate the tax deduction for direct-to-consumer pharmaceutical marketing. Revenue.
129,1740722,1,MA,21,H2873,B,1,H,51,H,51,Encouraging employer student loan repayment,For legislation to establish an employer student loan repayment tax credit. Revenue.
130,1844441,1,MA,21,S2631,B,1,S,52,S,52,Order relative to authorizing the joint committee on Transportation to make an investigation and study of certain current Senate documents relative to transportation matters.,"For legislationfor legislationfor legislationfor legislationfor legislationfor legislationfor legislation relative to third party delivery data reporting, report the accompanying Order (Senate, No. 2631)."
131,1770050,1,MA,21,H3892,B,1,H,51,H,51,"Relative to creditable service for Eileen Mullen, a member of the Massachusetts Teachers’ retirement system","By Representative Straus of Mattapoisett, a petition (subject to Joint Rule 12) of William M. Straus that the Massachusetts Teachers’ Retirement Board be directed to grant creditable service to Eileen Mullen for certain service rendered at the Greater New Bedford Regional Vocational Technical High School. Public Service."
132,1870327,1,MA,21,H4534,B,1,H,51,H,51,Relative to retired Quincy firefighter Kevin Bythrow,Relative to the retirement of Kevin Bythrow by the retirement board of the city of Quincy. Public Service. [Local Approval Received.]
133,1740979,1,MA,21,H3092,B,1,H,51,H,51,Relative to restricted vital records,Relative to removing certain accessibility restrictions on public records. State Administration and Regulatory Oversight.
134,1736908,1,MA,21,S1712,B,1,S,52,S,52,Relative to raising the entrance age of police officers,For legislation to raise the entrance age of police officers. Public Service.
135,1738996,1,MA,21,H72,B,1,H,51,H,51,To protect against deep fakes used to facilitate criminal or torturous conduct,"For legislation to establish a Massachusetts state deepfake and digital provenance task force (including members of the General Court) to protect against deep fakes used to facilitate criminal or torturous conduct. Advanced Information Technology, the Internet and Cybersecurity."
136,1737135,1,MA,21,S2203,B,1,S,52,S,52,Relative to autocycles,For legislation relative to autocycles. Transportation.
137,1736549,1,MA,21,S997,B,1,S,52,S,52,Relative to Massachusetts state sovereignty,For legislation relative to Massachusetts state sovereignty. The Judiciary.
138,1737512,2,MA,21,S2369,B,1,S,52,S,52,"Relative to the retirement of Greg Heath, a former firefighter of the city of Westfield","For legislation relative to the retirement of Greg Heath, a former firefighter of the city of Westfield. Public Service. [Local approval received]"
139,1738623,1,MA,21,H1279,B,1,H,51,H,51,Relative to instate tuition,Relative to in-state tuition rates and fees at public institutions of higher education. Higher Education.
140,1865064,1,MA,21,S2684,B,1,S,52,S,52,Relative to culturally competent and effective health care,"For legislation relative to culturally competent and effective health care; and of Chynah Tyler relative to the collection and publishing of physician workforce data concerning race, ethnicity, gender identity and sexual identity, report the accompanying bill (Senate, No. 2684)."
141,1741947,1,MA,21,H1973,B,1,H,51,H,51,To further enhance behavioral health workforce development,"For legislation to further enhance behavioral health workforce development. Mental Health, Substance Use and Recovery."
142,1757772,1,MA,21,H3789,B,1,H,51,H,51,Relative to the use of public lands by community based organizations,Relative to authorizing municipalities to waive certain fees for the use of municipal-owned land by non-profit and charitable organizations. Municipalities and Regional Government.
143,1738077,1,MA,21,H357,B,1,H,51,H,51,"Protecting reproductive health access, LGBTQ lives, religious liberty, and freedom of movement by banning the sale of cell phone location information",Relative to banning the sale of cell phone location information. Consumer Protection and Professional Licensure.
144,1740728,1,MA,21,H1716,B,1,H,51,H,51,Relative to the uniform voidable transactions act,Relative to uniform voidable transactions. The Judiciary.
145,1733879,1,MA,21,S676,B,1,S,52,S,52,To ensure consumer cost protection under the dental medical loss ratio,For legislation to ensure consumer cost protection under the dental medical loss ratio. Financial Services.
146,1735731,1,MA,21,S839,B,1,S,52,S,52,Assisting low-income students success through work-study,For legislation to assist low-income students success through work-study. Higher Education.
147,1733520,1,MA,21,S1510,B,1,S,52,S,52,To protect the civil rights and safety of all Massachusetts residents,For legislation to protect the civil rights and safety of all Massachusetts residents. Public Safety and Homeland Security.
148,1738195,1,MA,21,H909,B,1,H,51,H,51,Relative to a cranberry water use transfer program,Relative to a cranberry water use transfer program. Agriculture.
149,1737328,1,MA,21,S1193,B,1,S,52,S,52,Expanding access to commuter transit benefits offered by employers,For legislation to expand access to commuter transit benefits offered by employers. Labor and Workforce Development.
150,1737597,1,MA,21,H297,B,1,H,51,H,51,Relative to the financing of motor vehicle purchases,Relative to the financing of motor vehicle purchases. Consumer Protection and Professional Licensure.
151,1844435,1,MA,21,S2644,B,1,S,52,S,52,Order relative to authorizing the joint committee on Transportation to make an investigation and study of certain current Senate documents relative to mobility matters.,"For legislationfor legislationfor legislation to establish fast, frequent, and reliable passenger rail service between Pittsfield and Boston via Springfield, report the accompanying Order (Senate, No. 2644)."
152,1736709,1,MA,21,S1253,B,1,S,52,S,52,To remove administrative barriers to behavioral health services,"For legislation to remove administrative barriers to behavioral health services. Mental Health, Substance Use and Recovery."
153,1738652,1,MA,21,H664,B,1,H,51,H,51,Relative to ranked choice voting in the town of Concord,Relative to ranked choice voting in the town of Concord. Election Laws. [Local Approval Received.]
154,1738686,1,MA,21,H2135,B,1,H,51,H,51,Relative to removing barriers to care for physician assistants,"Relative to the licensing, supervision and scope of practice of physicians assistants. Public Health."
155,1741073,1,MA,21,H3318,B,1,H,51,H,51,To establish the speed limit on certain highways,For legislation to increase the speed limit on certain highways. Transportation.
156,1738668,1,MA,21,H563,B,1,H,51,H,51,Concerning disposable menstrual products in schools,Relative to providing for the availability of disposable menstrual products in schools. Education.
157,1750978,1,MA,21,H3670,B,1,H,51,H,51,Relative to the timely disbursement of appropriated funds,Relative to the timely disbursement of appropriated funds. State Administration and Regulatory Oversight.
158,1733496,1,MA,21,S1248,B,1,S,52,S,52,To increase investment in behavioral health care in the Commonwealth,"For legislation to increase investment in behavioral health care in the Commonwealth. Mental Health, Substance Use and Recovery."
159,1772723,1,MA,21,H3939,B,1,H,51,H,51,Relative to the well-being of new mothers and infants,Relative to the mental well-being of new mothers facing criminal charges. The Judiciary.
160,1742141,1,MA,21,H2490,B,1,H,51,H,51,Relative to creditable service for MBTA police officers,Relative to creditable service for Massachusetts Bay Transportation Authority police officers. Public Service.
161,1740267,1,MA,21,H1557,B,1,H,51,H,51,Relative to establishing an animal abuse registry,For legislation to establish an animal abuse registry. The Judiciary.
